wrap_title,name
热销榜,"恰似寒光遇骄阳,摄政王他又在掐我桃花,穿成权臣的首富娇妻,夫人她马甲又轰动全城了,欢迎来到我的地狱,宋檀记事,大小姐她总是不求上进,大理寺小饭堂,长安好,十万个氪金的理由"
风云榜,"总裁狼性,顾忘西川,美食大佬在星际只想赚钱,南风雨后,钻石小春耀晶明坚梦,呆萌世子妃：竹马夫君咬一口,对谢哥哥撒个娇,陆总，夫人又传您八卦了,快穿之奶猫宿主甜又软,致命偏宠"
新书榜,"摄政王他又在掐我桃花,再度热恋,穿成反派后，乖戾年下把我撩哭了,穿越后有个皇位等着我继承,农家悍姐,温小姐，撩你心动,国师，陛下又不乖,白天冷冰冰的顶流晚上哭着哄我,长公主今天登基了吗,钓系美人在恋综成了万人迷"
周推荐榜,岚烟如诗
完本榜,"恰似寒光遇骄阳,摄政王他又在掐我桃花,十万个氪金的理由,惊世医妃,致命偏宠,南朝春色,八零大院小可怜是玄学大佬,全能修炼师：废柴二小姐,穿成王爷的小仙女,重生异能俏娇妻"
打赏榜,"恰似寒光遇骄阳,摄政王他又在掐我桃花,绝世神医：腹黑大小姐,穿成权臣的首富娇妻,天医凤九,国师，陛下又不乖,退婚后咸鱼美人拿了反派剧本,钓系美人在恋综成了万人迷,全能大佬又被拆马甲了,打职业后成了团宠"
